ID;first_name;last_name;personal_email;birthdate;phone;employee_type;department;maritalstatus;nationality;county;postcode;state;end_contract_date;Identification_number
1;Elliot;Benzler;chariotsadjuring@ZolasTaichung.info;01-05-1962;153-728-0799;Manager;Human Resources;Widowed;Andorra;Bristol Bay;49395;Washington;04-09-2023;2416862670
2;Jeromy;Radakovic;miserableswhams@mealingMellonFulanis.gov;03-06-1961;633-813-7051;Manager;Human Resources;Widowed;Taiwan;Conecuh;61694;Oregon;08-05-2023;9956429706
3;Emil;Renford;stumblersnutmeats@imbroglio.net;24-01-1987;336-842-8734;Employee;Human Resources;Married;French Guiana;Walsh;40337;Montana;03-07-2023;2795210478
4;Mitchell;Soik;mousiermultiplier@breakupsimpasse.net;20-02-1970;437-295-2913;Employee;Human Resources;Single;Bangladesh;Blair;31347;Texas;15-02-2023;6106816613
5;Benjamin;Tefft;WillemstadgirdledMcCrays@benefactor.org;31-07-1961;553-557-8414;Employee;Human Resources;Widowed;Lithuania;Cowlitz;60555;Montana;01-12-2023;8334034713
6;Jonah;Dischner;rehearsescorrespondent@CruikshanksLarss.org;20-05-1972;272-607-1508;Manager;Production Line;Separated;Zambia;Colbert;43355;Oregon;07-09-2023;7736833421
7;Abel;Ghoshal;hulkspostponing@fluoroscope.info;21-03-1973;558-451-8496;Manager;Production Line;Single;Luxembourg;Windsor;23186;Iowa;12-06-2023;5784086089
8;Kent;Kohlman;scroungessquidding@receptivitydecked.edu;22-04-1973;872-633-9477;Manager;Production Line;Separated;Swaziland;San Benito;32615;Nevada;13-10-2023;7747770471
9;Doyle;Neeland;battlefieldsKikuyu@metacarpalscampsite.gov;27-11-1980;308-001-1852;Employee;Production Line;Separated;Luxembourg;San Bernardino;25334;Wyoming;18-10-2023;1449314340
10;Napoleon;Paulina;cottonsorchards@moonstonestranquillizer.net;30-03-1989;301-181-6431;Employee;Production Line;Divorced;Mali;Le Sueur;23239;Wisconsin;24-03-2023;9302542009
11;Noah;Lasich;Nsfriendlyassuaged@Barrettunfolding.info;29-02-1984;440-197-9357;Employee;Production Line;Single;Netherlands Antilles;Anderson;42686;Texas;28-08-2023;9606897641
12;Randell;Drabick;multiplexers@comicusurpers.org;28-04-1967;175-954-2453;Employee;Production Line;Single;Mediterranean Sea;Roscommon;86438;South Carolina;26-08-2023;5320375263
13;Vernon;Tapella;passagesFaradayspiritualism@chemisechickweeds.org;02-05-1965;735-706-5493;Employee;Production Line;Widowed;Liberia;Chaffee;59781;Utah;19-05-2023;6725914169
14;Harold;Smathers;Ijsseltheismsspookier@wheelwrightresponsibilities.com;27-01-1985;984-743-2686;Employee;Production Line;Separated;Canada;Wythe;88369;Wisconsin;09-03-2023;2684380759
15;Francisco;Meyerhoff;receptivereforestation@renouncesregale.org;25-10-1971;665-690-0380;Employee;Production Line;Single;Montserrat;Moultrie;64623;Puerto Rico;18-01-2023;4685278122
